acc-shop.10bis.co.il AS16509 AS16509 - AMAZON.COM, INC. US 35.156.0.0/14
api.10bis.co.il AS8068 AS8068 - MICROSOFT CORPORATION US 13.107.213.0/24
backoffice.10bis.co.il AS8075 AS8075 - MICROSOFT CORPORATION US 20.48.0.0/12
click.update.10bis.co.il AS22606 AS22606 - SALESFORCE.COM, INC. US 13.111.0.0/16
cloud.update.10bis.co.il AS22606 AS22606 - SALESFORCE.COM, INC. US 13.111.0.0/16
connect.10bis.co.il AS22606 AS22606 - SALESFORCE.COM, INC. US 13.111.0.0/16
image.update.10bis.co.il AS20940 AS20940 - AKAMAI INTERNATIONAL B.V. NL 23.62.46.0/24
mta.update.10bis.co.il AS22606 AS22606 - SALESFORCE.COM, INC. US 13.111.0.0/16
pages.update.10bis.co.il AS22606 AS22606 - SALESFORCE.COM, INC. US 13.111.0.0/16
reshomeapi.10bis.co.il AS8068 AS8068 - MICROSOFT CORPORATION US 13.107.246.0/24
ridewith.10bis.co.il AS22606 AS22606 - SALESFORCE.COM, INC. US 13.111.0.0/16
shop.10bis.co.il AS13335 AS13335 - CLOUDFLARE, INC. US 104.22.64.0/20
staging.10bis.co.il AS8068 AS8068 - MICROSOFT CORPORATION US 13.107.213.0/24
storybook.10bis.co.il AS8068 AS8068 - MICROSOFT CORPORATION US 13.107.213.0/24
test-shop.10bis.co.il AS13335 AS13335 - CLOUDFLARE, INC. US 104.22.0.0/20
update.10bis.co.il AS22606 AS22606 - SALESFORCE.COM, INC. US 13.111.0.0/16
view.update.10bis.co.il AS22606 AS22606 - SALESFORCE.COM, INC. US 13.111.0.0/16
www.10bis.co.il AS8075 AS8075 - MICROSOFT CORPORATION US 20.64.0.0/10
