a.cpaul.test.popularbets.betviewapi.com AS16509 AS16509 - AMAZON.COM, INC. US 34.248.0.0/13
api.games.betviewapi.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.100.48.0/20
api.popularbets.betviewapi.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.100.48.0/20
api-static.games.betviewapi.com AS16509 AS16509 - AMAZON.COM, INC. US 108.139.0.0/21
api-static.staging.games.betviewapi.com AS16509 AS16509 - AMAZON.COM, INC. US 65.8.158.0/23
api-static.test4.games.betviewapi.com AS16509 AS16509 - AMAZON.COM, INC. US 108.138.240.0/21
cashout.betviewapi.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.100.48.0/20
dev.test.popularbets.betviewapi.com AS16509 AS16509 - AMAZON.COM, INC. US 13.35.124.0/22
dev.trending.test.popularbets.betviewapi.com AS16509 AS16509 - AMAZON.COM, INC. US 65.8.158.0/23
erwann.test.popularbets.betviewapi.com AS16509 AS16509 - AMAZON.COM, INC. US 65.8.158.0/23
erwann.trending.test.popularbets.betviewapi.com AS16509 AS16509 - AMAZON.COM, INC. US 99.84.232.0/21
gareth.test.popularbets.betviewapi.com AS16509 AS16509 - AMAZON.COM, INC. US 108.138.240.0/21
gareth.trending.test.popularbets.betviewapi.com AS16509 AS16509 - AMAZON.COM, INC. US 65.8.158.0/23
rab-pricing.betviewapi.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.100.48.0/20
singhr.test.popularbets.betviewapi.com AS16509 AS16509 - AMAZON.COM, INC. US 108.138.240.0/21
singhr.trending.test.popularbets.betviewapi.com AS16509 AS16509 - AMAZON.COM, INC. US 99.84.232.0/21
staging.test.popularbets.betviewapi.com AS16509 AS16509 - AMAZON.COM, INC. US 108.138.240.0/21
staging.trending.test.popularbets.betviewapi.com AS16509 AS16509 - AMAZON.COM, INC. US 99.84.232.0/21
stats.betviewapi.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.100.48.0/20
stats.nps.betviewapi.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.100.48.0/20
test4.test.popularbets.betviewapi.com AS16509 AS16509 - AMAZON.COM, INC. US 108.139.0.0/21
test4.trending.test.popularbets.betviewapi.com AS16509 AS16509 - AMAZON.COM, INC. US 99.84.232.0/21
trending.popularbets.betviewapi.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.100.48.0/20
us-east.cpaul.test.popularbets.betviewapi.com AS16509 AS16509 - AMAZON.COM, INC. US 108.139.0.0/21
