00k.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-edge-chat.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-edge-chat-latest.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
11vm12q.dns.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
126.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
15ne1za.dns.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
163.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
17czwodr.dns.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
19nckffj.dns.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
1avfbh8f.dns.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
1bo11qrs.dns.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
1ck504y.dns.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
1-edge-chat.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
1-edge-chat-latest.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
1g0o2xlr.dns.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
1h83xm3.dns.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
1h8jnoa.dns.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
1hra7mwt.dns.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
1k3403cv.dns.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
1kkjf7m8.dns.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
1o4ueur.dns.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
1omzrzni.dns.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
1t741kq.dns.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
1tawatb.dns.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
1upii44.dns.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
1vx63538.dns.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
1webuu3.dns.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
1xhmp6r.dns.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
1xx4xbg.dns.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
1zoxyr9j.dns.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
20wagdm4.dns.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
2311rfo7.dns.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
2316441j.dns.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
23perspective.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
2cv.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
2-edge-chat.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
2-edge-chat-latest.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
2fdpti15.dns.facebook.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
