ad-manager-ui.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 99.84.232.0/21
admiral.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 13.35.124.0/22
ads-cdn.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 65.8.158.0/23
analytics-merchant.grab.com AS8075 AS8075 - MICROSOFT CORPORATION US 52.160.0.0/11
api.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 13.250.0.0/15
api.jr.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 54.169.128.0/17
api-restricted.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 13.35.124.0/22
api-restricted-lb.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 18.140.0.0/15
aries.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 108.138.240.0/21
assets.gifts.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 108.139.0.0/21
assets.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 108.139.0.0/21
assets-mobile.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 65.8.158.0/23
assets-staging.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 13.35.124.0/22
autoconfig.store.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 108.139.0.0/21
autodiscover.store.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 65.8.158.0/23
b2b-waypoint-portal.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 108.138.240.0/21
bangkok.qms.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 54.255.128.0/17
blackhole.ext.grab.com AS3758 AS3758 - SINGNET PTE LTD SG 42.61.0.0/17
bolt.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 65.8.158.0/23
brand.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 13.35.124.0/22
business.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 65.8.158.0/23
business-profile.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 99.84.232.0/21
cancellah-cdn.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 99.84.232.0/21
category-tile-images.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 13.35.124.0/22
central-service-dashboard-fe.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 65.8.158.0/23
click.id.mkt.grab.com AS22606 AS22606 - SALESFORCE.COM, INC. US 13.111.0.0/16
click.kh.mkt.grab.com AS22606 AS22606 - SALESFORCE.COM, INC. US 13.111.0.0/16
click.mkt.grab.com AS22606 AS22606 - SALESFORCE.COM, INC. US 13.111.0.0/16
click.mm.mkt.grab.com AS22606 AS22606 - SALESFORCE.COM, INC. US 13.111.0.0/16
click.my.mkt.grab.com AS22606 AS22606 - SALESFORCE.COM, INC. US 13.111.0.0/16
click.ph.mkt.grab.com AS22606 AS22606 - SALESFORCE.COM, INC. US 13.111.0.0/16
click.sg.mkt.grab.com AS22606 AS22606 - SALESFORCE.COM, INC. US 13.111.0.0/16
click.th.mkt.grab.com AS22606 AS22606 - SALESFORCE.COM, INC. US 13.111.0.0/16
click.vn.mkt.grab.com AS22606 AS22606 - SALESFORCE.COM, INC. US 13.111.0.0/16
cloud.id.mkt.grab.com AS22606 AS22606 - SALESFORCE.COM, INC. US 13.111.0.0/16
cloud.kh.mkt.grab.com AS22606 AS22606 - SALESFORCE.COM, INC. US 13.111.0.0/16
cloud.mkt.grab.com AS22606 AS22606 - SALESFORCE.COM, INC. US 13.111.0.0/16
cloud.mm.mkt.grab.com AS22606 AS22606 - SALESFORCE.COM, INC. US 13.111.0.0/16
cloud.my.mkt.grab.com AS22606 AS22606 - SALESFORCE.COM, INC. US 13.111.0.0/16
cloud.ph.mkt.grab.com AS22606 AS22606 - SALESFORCE.COM, INC. US 13.111.0.0/16
cloud.sg.mkt.grab.com AS22606 AS22606 - SALESFORCE.COM, INC. US 13.111.0.0/16
cloud.th.mkt.grab.com AS22606 AS22606 - SALESFORCE.COM, INC. US 13.111.0.0/16
cloud.vn.mkt.grab.com AS22606 AS22606 - SALESFORCE.COM, INC. US 13.111.0.0/16
commerce.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 52.220.0.0/15
concedo-ams-ui.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 65.8.158.0/23
concedo.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 65.8.158.0/23
concierge.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 65.8.158.0/23
conqueryoureveryday.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 108.138.240.0/21
csat.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 65.8.158.0/23
csd.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 99.84.232.0/21
daxexp.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 13.35.124.0/22
dax-feedback-img.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 108.138.240.0/21
dax.grab.com AS63295 AS63295 - ORACLE CORPORATION US 129.91.16.0/21
design.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 65.8.158.0/23
developer-admin.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 65.8.158.0/23
developer.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 108.138.240.0/21
developers.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 99.84.232.0/21
dexter.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 65.8.158.0/23
discovery-ds-public.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 108.138.240.0/21
doc.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 54.179.128.0/18
earlyaccess.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 108.138.240.0/21
engineering.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 65.8.158.0/23
enterprise.grab.com AS14618 AS14618 - AMAZON.COM, INC. US 34.224.0.0/12
experiments.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 108.139.0.0/21
express-dash.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 108.139.0.0/21
express.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 108.138.240.0/21
finance.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 13.35.124.0/22
financereportportal.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 52.220.0.0/15
financesftp.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 52.77.0.0/16
food-cms-upload2.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 52.74.0.0/16
food.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 108.138.240.0/21
food-merchant-help.grab.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.16.48.0/20
food-partner-api-img.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 108.138.240.0/21
food-zeus.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 65.8.158.0/23
gamma-cx.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 108.139.0.0/21
gamma-daxexp.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 108.138.240.0/21
gamma-daxexp-public.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 65.8.158.0/23
gamma-econs.grab.com AS16509 AS16509 - AMAZON.COM, INC. US 108.138.240.0/21
