api.grabpay.com AS16509 AS16509 - AMAZON.COM, INC. US 108.139.0.0/21
apigw01.grabpay.com AS16509 AS16509 - AMAZON.COM, INC. US 13.212.0.0/15
bitbucketmirror01.corp.grabpay.com AS16509 AS16509 - AMAZON.COM, INC. US 3.0.0.0/15
bitbucket-mirror-ext01.corp.grabpay.com AS16509 AS16509 - AMAZON.COM, INC. US 3.0.0.0/15
cdn-gp01.grabpay.com AS16509 AS16509 - AMAZON.COM, INC. US 65.8.158.0/23
comet.grabpay.com AS16509 AS16509 - AMAZON.COM, INC. US 3.0.0.0/15
crif.grabpay.com AS16509 AS16509 - AMAZON.COM, INC. US 18.138.0.0/15
dockerhub.corp.grabpay.com AS16509 AS16509 - AMAZON.COM, INC. US 13.228.0.0/15
fast-eddagw.grabpay.com AS16509 AS16509 - AMAZON.COM, INC. US 52.220.0.0/15
gpdm-sftp01.grabpay.com AS16509 AS16509 - AMAZON.COM, INC. US 13.228.0.0/15
grafana.grabpay.com AS16509 AS16509 - AMAZON.COM, INC. US 13.214.0.0/15
janus.grabpay.com AS16509 AS16509 - AMAZON.COM, INC. US 18.138.0.0/15
merchantcentral.grabpay.com AS16509 AS16509 - AMAZON.COM, INC. US 65.8.158.0/23
mos.grabpay.com AS16509 AS16509 - AMAZON.COM, INC. US 13.214.0.0/15
opac.grabpay.com AS16509 AS16509 - AMAZON.COM, INC. US 13.228.0.0/15
opac-vn.grabpay.com AS16509 AS16509 - AMAZON.COM, INC. US 13.228.0.0/15
sftp01.grabpay.com AS16509 AS16509 - AMAZON.COM, INC. US 13.228.0.0/15
snorlax.grabpay.com AS16509 AS16509 - AMAZON.COM, INC. US 3.0.0.0/15
verification.grabpay.com AS16509 AS16509 - AMAZON.COM, INC. US 108.138.240.0/21
xtramile.grabpay.com AS16509 AS16509 - AMAZON.COM, INC. US 18.138.0.0/15
