allvue.api.gsam.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.125.32.0/19
docreview.gsam.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.69.240.0/20
docreview.uat.gsam.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.74.80.0/20
drm.gsam.com AS6195 AS6195 - THE GOLDMAN SACHS GROUP, INC. US 207.17.33.0/24
drm-qa.gsam.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.125.32.0/19
gsam.com AS6195 AS6195 - THE GOLDMAN SACHS GROUP, INC. US 207.17.33.0/24
internal.gsam.com AS6195 AS6195 - THE GOLDMAN SACHS GROUP, INC. US 204.4.187.0/24
internal-qa.gsam.com AS18593 AS18593 - THE GOLDMAN SACHS GROUP, INC. US 199.99.2.0/24
login.gsam.com AS6195 AS6195 - THE GOLDMAN SACHS GROUP, INC. US 148.86.15.0/24
login-qa.gsam.com AS18593 AS18593 - THE GOLDMAN SACHS GROUP, INC. US 148.86.12.0/24
marketing.gsam.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.69.240.0/20
origin-allvue.gsam.com AS6195 AS6195 - THE GOLDMAN SACHS GROUP, INC. US 148.86.15.0/24
origin.gsam.com AS6195 AS6195 - THE GOLDMAN SACHS GROUP, INC. US 148.86.15.0/24
qa.allvue.api.gsam.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.125.32.0/19
qa.gsam.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.125.32.0/19
qa.marketing.gsam.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.74.80.0/20
qa.tracking.gsam.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.74.80.0/20
qawebid2.gsam.com AS18593 AS18593 - THE GOLDMAN SACHS GROUP, INC. US 138.8.74.0/24
qawebid.gsam.com AS18593 AS18593 - THE GOLDMAN SACHS GROUP, INC. US 199.99.2.0/24
subdocreview.uat.gsam.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.74.80.0/20
tracking.gsam.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.69.240.0/20
video.gsam.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.69.240.0/20
video.qa.gsam.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.74.80.0/20
webid2.gsam.com AS6195 AS6195 - THE GOLDMAN SACHS GROUP, INC. US 148.86.15.0/24
webid.gsam.com AS6195 AS6195 - THE GOLDMAN SACHS GROUP, INC. US 204.4.187.0/24
www.allvue.gsam.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.125.32.0/19
www.docreview.gsam.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.69.240.0/20
www.gsam.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.69.240.0/20
www.qa.allvue.gsam.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.125.32.0/19
wwwqa.gsam.com AS18593 AS18593 - THE GOLDMAN SACHS GROUP, INC. US 199.99.2.0/24
