0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-226-104-36.0.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-226-188-56.0.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
03.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
05596759fbd529bc6-euweinfo5.web1.qa2.beta.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0.beta.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0.wap.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0.ziyadbazed.sb.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
101.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
10net.0.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
11192521403954.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
122.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
153.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
15.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
162.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
16vira-96-118-166-220all.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
176.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
177.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
185.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
187.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
194.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
1c1covid19.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
1.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
1nfo.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
1www.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
2019covid19.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
201.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
203.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
205.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
20euweinfo5.web1.qa2.beta.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
220-226-104-36.0.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
220-226-188-56.0.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
221.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
23.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
240.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
248.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
252finfo.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
26.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
32.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
39973.standalone.ccpl.xwf.internet.org AS16509 AS16509 - AMAZON.COM, INC. US 15.206.0.0/15
39c39.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
39fc3.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
3g.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
3.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
4186-xsec.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
432.standalone.ccpl.xwf.internet.org AS16509 AS16509 - AMAZON.COM, INC. US 65.0.0.0/14
46.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
4-time-viruses.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
4-virus-du-temps.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
58.wap.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
5.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
5kbtopcovid19.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
60.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
61.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
6.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
80ljhou1vy.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
84nf.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
85.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
8.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
9-22.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
9dp.google.com.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
a02.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
a2.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
academico.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
acceso.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
access.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
accountsecuritylockdown.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
achat-chloroquine.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ac.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
acp.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ad.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
adistance.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
admin1.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
admin1-pandemicflu.gamestore.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
admin.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
adm.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
admin.www.tncovvlzzzlbstl.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
adserver.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ads.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ads.xwf-ads-dev.xwf.internet.org AS16509 AS16509 - AMAZON.COM, INC. US 52.48.0.0/14
ads.xwf-ads-prod-mumbai.xwf.internet.org AS16509 AS16509 - AMAZON.COM, INC. US 13.126.0.0/15
adult.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
affiliate.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
affiliates.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
af-south-1-prod.k8s.apdata.xsec.internet.org AS16509 AS16509 - AMAZON.COM, INC. US 13.244.0.0/15
af-za.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
agenda.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
a.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
airtel.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
airtel.in.xwf.internet.org AS45609 AS45609 - BHARTI AIRTEL LIMITED IN 117.96.90.0/24
aixiudie.world.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
alabama.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ali1688s.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
alisinangvirus.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
alpha.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
alt.th.xwf.internet.org AS16509 AS16509 - AMAZON.COM, INC. US 18.138.0.0/15
alumni.devna.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
alumni.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
amardesheshop-com.0.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ana.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
analytics.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
analyzer.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
andika.virus.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
andongsoju.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ann.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
announce.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
annuaire.antivirus.helpcenter.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
annuaire.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
anothermask.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
antivirus1.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
antivirus1.internet.org.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
antivirus1-n3643109v9v0g5qpl.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
antivirus1n6844.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
antivirus1-n6cbc4.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
antivirus1.n85964.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
antivirus1ntern.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
antivirusadminpawlitic.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
antivirusadminqlserver.0.wap.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
antivirusadmin-uji.cozsdsasfdsafdsfcsdcfdssadfsasadwewfcsrefba.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
antivirusapp.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
antivirus.bol.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
antivirus.cdn4.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
antiviruscure.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
antivirus-dev.osapps.dev-eu.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
antivirus.diagrams.fr.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
antivirus.helpcenter.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
anti-virus.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
antivirus-jira.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
antiviruskfb.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
antivirus.mobi.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
antivirus-number.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
antivirus.nummus.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
antivirusprenh.facebook.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
antiviruspre.standalone.ccpl.xwf.internet.org AS16509 AS16509 - AMAZON.COM, INC. US 65.0.0.0/14
antivirusrt.app.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
antivirus.secure.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
antivirus.tracking.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
anywhere.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
aode.world.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ao.hgf.edcba98.wy.secured.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
aolantivirus.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ap.app1.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
apartmanikorona.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
apdata.xseeuropewest.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
api2-backup.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
api-dev.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
api.in.ccpl.xwf.internet.org AS16509 AS16509 - AMAZON.COM, INC. US 13.126.0.0/15
api.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
api.sg.xwf.internet.org AS16509 AS16509 - AMAZON.COM, INC. US 54.251.64.0/18
apis.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
api.staging.xwf.internet.org AS16509 AS16509 - AMAZON.COM, INC. US 54.251.64.0/18
app1-virus.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
app.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
apps.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
aproxy.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ap-south-1-prod.ads.ccpl.internet.org AS16509 AS16509 - AMAZON.COM, INC. US 65.0.0.0/14
ap-south-1-prod.ads.xsec.internet.org AS16509 AS16509 - AMAZON.COM, INC. US 65.0.0.0/14
ap-south-1-prod.apdata.ccpl.internet.org AS16509 AS16509 - AMAZON.COM, INC. US 35.154.0.0/16
ap-south-1-prod.direct.ccpl.internet.org AS16509 AS16509 - AMAZON.COM, INC. US 3.6.0.0/15
ap-south-1-prod.k8s.apdata.ccpl.internet.org AS16509 AS16509 - AMAZON.COM, INC. US 15.206.0.0/15
ap-south-1-prod-maas.ccpl.xwf.internet.org AS16509 AS16509 - AMAZON.COM, INC. US 13.232.0.0/14
ap-south-1-qa.direct.xwf.internet.org AS16509 AS16509 - AMAZON.COM, INC. US 3.108.0.0/14
ap-south-1-qa.k8s.apdata.xwf-datanalytics.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ap-south-1-qa.k8s.apdata.xwf.internet.org AS16509 AS16509 - AMAZON.COM, INC. US 65.0.0.0/14
ap-southeast-1-prod.ads.xsec.internet.org AS16509 AS16509 - AMAZON.COM, INC. US 18.138.0.0/15
ap-southeast-1-prod.apdata.xwf.internet.org AS16509 AS16509 - AMAZON.COM, INC. US 3.0.0.0/15
ap-southeast-1-prod.direct.xsec.internet.org AS16509 AS16509 - AMAZON.COM, INC. US 18.142.0.0/15
ap-southeast-1-prod.k8s.apdata.xsec.internet.org AS16509 AS16509 - AMAZON.COM, INC. US 54.254.0.0/17
ap-southeast-1-qa.k8s.apdata.xsec.internet.org AS16509 AS16509 - AMAZON.COM, INC. US 52.220.0.0/15
ar-ar.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
archieve.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
archive.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
archiv.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
argon.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ar.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
arion-br.br.xsec.internet.org AS16509 AS16509 - AMAZON.COM, INC. US 52.67.0.0/16
art.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
asiste.pemex.com.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
asiste.pemex.covidyo.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
askimaskim.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
assets2.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
assets5.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
assets.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
atlas.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
atlassian-02.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
att.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
atyponeocovid19-sa.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
atyponeocovidev-sa.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
atyponeocovidev.sa.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
aum.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
australiauncovered.internet.org AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
