ablink.emails.just-eat.fr AS16509 AS16509 - AMAZON.COM, INC. US 65.8.158.0/23
acc-shop.just-eat.fr AS13335 AS13335 - CLOUDFLARE, INC. US 104.22.16.0/20
api.just-eat.fr AS13335 AS13335 - CLOUDFLARE, INC. US 172.64.147.0/24
awards.just-eat.fr AS13335 AS13335 - CLOUDFLARE, INC. US 104.18.40.0/24
beta.just-eat.fr AS13335 AS13335 - CLOUDFLARE, INC. US 104.18.40.0/24
click.email.just-eat.fr AS20940 AS20940 - AKAMAI INTERNATIONAL B.V. NL 23.62.46.0/24
click.update.just-eat.fr AS22606 AS22606 - SALESFORCE.COM, INC. US 13.111.0.0/16
cloud.email.just-eat.fr AS22606 AS22606 - SALESFORCE.COM, INC. US 136.147.128.0/20
cloud.update.just-eat.fr AS22606 AS22606 - SALESFORCE.COM, INC. US 13.111.0.0/16
commandes.just-eat.fr AS13335 AS13335 - CLOUDFLARE, INC. US 104.18.40.0/24
connect.just-eat.fr AS22606 AS22606 - SALESFORCE.COM, INC. US 13.111.0.0/16
corporate.just-eat.fr AS13335 AS13335 - CLOUDFLARE, INC. US 104.18.40.0/24
email.just-eat.fr AS22606 AS22606 - SALESFORCE.COM, INC. US 136.147.128.0/20
events.just-eat.fr AS16509 AS16509 - AMAZON.COM, INC. US 35.71.128.0/20
image.email.just-eat.fr AS20940 AS20940 - AKAMAI INTERNATIONAL B.V. NL 23.62.46.0/24
image.update.just-eat.fr AS20940 AS20940 - AKAMAI INTERNATIONAL B.V. NL 23.62.46.0/24
just-eat.fr AS54113 AS54113 - FASTLY, INC. US 151.101.0.0/22
m.just-eat.fr AS13335 AS13335 - CLOUDFLARE, INC. US 104.18.40.0/24
mta.email.just-eat.fr AS22606 AS22606 - SALESFORCE.COM, INC. US 13.111.0.0/16
mta.update.just-eat.fr AS22606 AS22606 - SALESFORCE.COM, INC. US 13.111.0.0/16
o1477.abmail.emails.just-eat.fr AS11377 AS11377 - SENDGRID, INC. US 167.89.64.0/19
order.just-eat.fr AS22606 AS22606 - SALESFORCE.COM, INC. US 13.111.0.0/16
orders.just-eat.fr AS13335 AS13335 - CLOUDFLARE, INC. US 104.18.40.0/24
partner.just-eat.fr AS13335 AS13335 - CLOUDFLARE, INC. US 172.64.147.0/24
restaurant.just-eat.fr AS13335 AS13335 - CLOUDFLARE, INC. US 104.18.40.0/24
restaurants.just-eat.fr AS13335 AS13335 - CLOUDFLARE, INC. US 104.18.40.0/24
restaurateurs.just-eat.fr AS13335 AS13335 - CLOUDFLARE, INC. US 104.18.40.0/24
shop.just-eat.fr AS13335 AS13335 - CLOUDFLARE, INC. US 104.22.32.0/20
subfolder-proxy-awards.just-eat.fr AS13335 AS13335 - CLOUDFLARE, INC. US 172.64.147.0/24
subfolder-proxy-deals.just-eat.fr AS13335 AS13335 - CLOUDFLARE, INC. US 172.64.147.0/24
subfolder-proxy-drivers.just-eat.fr AS13335 AS13335 - CLOUDFLARE, INC. US 172.64.147.0/24
subfolder-proxy-foodwiki.just-eat.fr AS13335 AS13335 - CLOUDFLARE, INC. US 172.64.147.0/24
subfolder-proxy-lb.just-eat.fr AS13335 AS13335 - CLOUDFLARE, INC. US 104.18.40.0/24
subfolder-proxy-takeawaypay.just-eat.fr AS13335 AS13335 - CLOUDFLARE, INC. US 104.18.40.0/24
tags.just-eat.fr AS16509 AS16509 - AMAZON.COM, INC. US 13.35.124.0/22
test-shop.just-eat.fr AS13335 AS13335 - CLOUDFLARE, INC. US 104.22.0.0/20
tv.just-eat.fr AS13335 AS13335 - CLOUDFLARE, INC. US 104.18.40.0/24
update.just-eat.fr AS22606 AS22606 - SALESFORCE.COM, INC. US 13.111.0.0/16
view.email.just-eat.fr AS22606 AS22606 - SALESFORCE.COM, INC. US 136.147.128.0/20
view.update.just-eat.fr AS22606 AS22606 - SALESFORCE.COM, INC. US 13.111.0.0/16
www.just-eat.fr AS13335 AS13335 - CLOUDFLARE, INC. US 172.64.147.0/24
