airdrop-api.matic.network AS14618 AS14618 - AMAZON.COM, INC. US 34.192.0.0/12
api.faucet.matic.network AS13335 AS13335 - CLOUDFLARE, INC. US 172.67.176.0/20
apis.matic.network AS16509 AS16509 - AMAZON.COM, INC. US 99.84.232.0/21
api-test.faucet.matic.network AS13335 AS13335 - CLOUDFLARE, INC. US 172.67.176.0/20
blog.matic.network AS16509 AS16509 - AMAZON.COM, INC. US 65.8.158.0/23
bridge-api.matic.network AS14618 AS14618 - AMAZON.COM, INC. US 54.174.0.0/15
bridge-api-node.matic.network AS14618 AS14618 - AMAZON.COM, INC. US 52.200.0.0/13
docs.matic.network AS16509 AS16509 - AMAZON.COM, INC. US 108.138.240.0/21
faucet.matic.network AS16509 AS16509 - AMAZON.COM, INC. US 65.8.158.0/23
forum.matic.network AS13335 AS13335 - CLOUDFLARE, INC. US 172.67.176.0/20
gasstation-mainnet.matic.network AS16509 AS16509 - AMAZON.COM, INC. US 108.138.240.0/21
heimdall.api.matic.network AS16509 AS16509 - AMAZON.COM, INC. US 65.8.158.0/23
jenkins.matic.network AS14618 AS14618 - AMAZON.COM, INC. US 52.4.0.0/14
matic.network AS16509 AS16509 - AMAZON.COM, INC. US 108.139.0.0/21
metrics.matic.network AS14618 AS14618 - AMAZON.COM, INC. US 52.72.0.0/15
mnt.matic.network AS14618 AS14618 - AMAZON.COM, INC. US 34.224.0.0/12
polygon-withdraw.matic.network AS16509 AS16509 - AMAZON.COM, INC. US 108.138.240.0/21
rpc-mainnet.matic.network AS16509 AS16509 - AMAZON.COM, INC. US 108.139.0.0/21
sentinel.matic.network AS16509 AS16509 - AMAZON.COM, INC. US 108.139.0.0/21
static.matic.network AS16509 AS16509 - AMAZON.COM, INC. US 108.139.0.0/21
torus-node.matic.network AS16509 AS16509 - AMAZON.COM, INC. US 54.255.0.0/17
wallet-asset.matic.network AS16509 AS16509 - AMAZON.COM, INC. US 65.8.158.0/23
wallet.matic.network AS16509 AS16509 - AMAZON.COM, INC. US 108.139.0.0/21
wallet-support.matic.network AS16509 AS16509 - AMAZON.COM, INC. US 99.84.232.0/21
wallet-test.matic.network AS14618 AS14618 - AMAZON.COM, INC. US 34.192.0.0/12
wallet-v1.matic.network AS16509 AS16509 - AMAZON.COM, INC. US 108.139.0.0/21
webhooks.dagger.matic.network AS14618 AS14618 - AMAZON.COM, INC. US 34.192.0.0/12
ws-mainnet.matic.network AS16509 AS16509 - AMAZON.COM, INC. US 99.84.232.0/21
www.blog.matic.network AS14618 AS14618 - AMAZON.COM, INC. US 52.70.0.0/15
www.matic.network AS16509 AS16509 - AMAZON.COM, INC. US 108.139.0.0/21
www.webhooks.dagger.matic.network AS14618 AS14618 - AMAZON.COM, INC. US 34.192.0.0/12
