0-11.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-2018.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-edge-chat-3.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-edge-chat-latest.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-edge-chat.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-undefined.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
12frenz.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
1374374522791369-togethersdk.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
14yki77.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
168.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
16nuy81.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
1-edege-chat.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
1-edge-chat.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
1kj4tcj.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
1.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
1sbipau.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
1-undefined.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
1www.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
205962049613862-togethersdk.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
24im.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
252fwww.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
2-edge-chat-latest.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
2-edge-chat.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
2fl.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
2fwww.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
2-undefined.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
3-edge-chat-latest.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
3-edge-chat.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
3-undefined.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
3x.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
4-edge-chat-latest.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
4-edge-chat.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
4-undefined.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
5-edge-chat-latest.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
5-edge-chat.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
5-undefined.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
6-edge-chat.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
6osgc9q4.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
6-undefined.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
7-edge-chat.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
818-v-ironmask.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
89mats.spaces.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
8-edge-chat.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
8kf58bpx.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
9-edge-chat.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
9pruw2rj.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
about.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
access.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
accountsecuritylockdown.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ac.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
acp.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
adistance.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ad.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
admin.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
admin.tts.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
adm.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
adserver.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ads.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
affiliate.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
affiliates.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
affordablevaccines.beta.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
afstand-meten.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
af-za.developers.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
af-za.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
af-za.r.e.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
af-za.thenews.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
af-za.yahoo.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
agenda.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ai.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
aim.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ajt.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
alexandrasicignano.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
alfa.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
alisg.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
allday20.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
alpha.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
alumni.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
a.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
am-et.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
amsn.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
analytics.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
andrea.messenger.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
