api.dev.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 3.132.0.0/14
auctions.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 65.8.158.0/23
blog.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 99.84.232.0/21
blog.staging.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 99.84.232.0/21
cache.new.oasis.app AS14618 AS14618 - AMAZON.COM, INC. US 3.224.0.0/12
chat.oasis.app AS14618 AS14618 - AMAZON.COM, INC. US 52.200.0.0/13
kb.oasis.app AS14618 AS14618 - AMAZON.COM, INC. US 100.24.0.0/13
legacy.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 54.73.0.0/16
mpp.oasis.app AS14618 AS14618 - AMAZON.COM, INC. US 52.200.0.0/13
mpp.staging.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 18.184.0.0/15
oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 65.8.158.0/23
oazo-bcache-goerli-adp.new.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 108.139.0.0/21
oazo-bcache-goerli-staging.new.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 108.138.240.0/21
oazo-bcache-mainnet-staging.new.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 99.84.232.0/21
oazo-bcache.new.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 99.84.232.0/21
staging.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 65.8.158.0/23
storybook.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 108.138.240.0/21
translate.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 108.139.0.0/21
translate.staging.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 65.8.158.0/23
www.mpp.staging.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 18.194.0.0/15
www.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 108.138.240.0/21
www.staging.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 65.8.158.0/23
www.storybook.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 65.8.158.0/23
www.translate.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 108.139.0.0/21
www.translate.staging.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 13.35.124.0/22
