1.mailhost.paydiant.com AS3561 AS3561 - CENTURYLINK COMMUNICATIONS, LLC US 64.14.64.0/19
apache1.eng.paydiant.com AS3561 AS3561 - CENTURYLINK COMMUNICATIONS, LLC US 64.14.64.0/19
api-b2b.certification.paydiant.com AS14618 AS14618 - AMAZON.COM, INC. US 34.192.0.0/12
api-b2b.demo.paydiant.com AS3561 AS3561 - CENTURYLINK COMMUNICATIONS, LLC US 209.202.128.0/18
api-b2b-dr.paydiant.com AS26444 AS26444 - PAYPAL, INC. US 198.54.216.0/24
api-b2b-extranet.paydiant.com AS26444 AS26444 - PAYPAL, INC. US 198.54.217.0/24
api-b2b.paydiant.com AS14618 AS14618 - AMAZON.COM, INC. US 107.22.0.0/16
api-b2b.qa.paydiant.com AS14618 AS14618 - AMAZON.COM, INC. US 100.24.0.0/13
api-b2b.staging.paydiant.com AS14618 AS14618 - AMAZON.COM, INC. US 34.224.0.0/12
api-b2b.testing.paydiant.com AS14618 AS14618 - AMAZON.COM, INC. US 35.153.0.0/16
atm.certification.paydiant.com AS3561 AS3561 - CENTURYLINK COMMUNICATIONS, LLC US 209.202.128.0/18
atmgateway.certification.paydiant.com AS3561 AS3561 - CENTURYLINK COMMUNICATIONS, LLC US 64.14.64.0/19
atmgateway-iso.certification.paydiant.com AS3561 AS3561 - CENTURYLINK COMMUNICATIONS, LLC US 209.202.128.0/18
atmgateway-iso.paydiant.com AS3561 AS3561 - CENTURYLINK COMMUNICATIONS, LLC US 209.202.128.0/18
atmgateway.paydiant.com AS3561 AS3561 - CENTURYLINK COMMUNICATIONS, LLC US 64.14.64.0/19
atmgateway.staging.paydiant.com AS3561 AS3561 - CENTURYLINK COMMUNICATIONS, LLC US 209.202.128.0/18
atm.paydiant.com AS3561 AS3561 - CENTURYLINK COMMUNICATIONS, LLC US 209.202.128.0/18
auto.eng.paydiant.com AS3561 AS3561 - CENTURYLINK COMMUNICATIONS, LLC US 64.14.64.0/19
bancopopular.paydiant.com AS3561 AS3561 - CENTURYLINK COMMUNICATIONS, LLC US 209.202.128.0/18
barclays.staging.paydiant.com AS3561 AS3561 - CENTURYLINK COMMUNICATIONS, LLC US 64.14.64.0/19
beverlybank.paydiant.com AS3561 AS3561 - CENTURYLINK COMMUNICATIONS, LLC US 209.202.128.0/18
bmoharris-b2b.paydiant.com AS3561 AS3561 - CENTURYLINK COMMUNICATIONS, LLC US 64.14.64.0/19
cdn-demo.paydiant.com AS16509 AS16509 - AMAZON.COM, INC. US 65.8.160.0/21
cdn.paydiant.com AS16509 AS16509 - AMAZON.COM, INC. US 108.138.240.0/21
cdn-staging.paydiant.com AS16509 AS16509 - AMAZON.COM, INC. US 65.8.160.0/21
cert-elb.external.skybridge.paydiant.com AS14618 AS14618 - AMAZON.COM, INC. US 3.224.0.0/12
certification-extranet.paydiant.com AS26444 AS26444 - PAYPAL, INC. US 198.54.217.0/24
certification-sitestatus.external.skybridge.paydiant.com AS14618 AS14618 - AMAZON.COM, INC. US 54.160.0.0/14
cert.internal.skybridge.paydiant.com AS39923 AS39923 - UNIX-SOLUTIONS BVBA BE 0.0.0.0/0
client-vpn.us-east-1.infprod.hub.paydiant.com AS14618 AS14618 - AMAZON.COM, INC. US 54.172.0.0/15
currentc.paydiant.com AS3561 AS3561 - CENTURYLINK COMMUNICATIONS, LLC US 64.14.64.0/19
dc6-sslvpn.paydiant.com AS26444 AS26444 - PAYPAL, INC. US 198.54.216.0/24
dc6.sslvpn.paydiant.com AS26444 AS26444 - PAYPAL, INC. US 198.54.216.0/24
demo.paydiant.com AS3561 AS3561 - CENTURYLINK COMMUNICATIONS, LLC US 209.202.128.0/18
eng.external.skybridge.paydiant.com AS14618 AS14618 - AMAZON.COM, INC. US 52.20.0.0/14
engineering-elb.external.skybridge.paydiant.com AS14618 AS14618 - AMAZON.COM, INC. US 3.224.0.0/12
eng.internal.paydiant.com AS3561 AS3561 - CENTURYLINK COMMUNICATIONS, LLC US 64.14.64.0/19
eng.paydiant.com AS3561 AS3561 - CENTURYLINK COMMUNICATIONS, LLC US 64.14.64.0/19
engpki.paydiant.com AS3561 AS3561 - CENTURYLINK COMMUNICATIONS, LLC US 209.202.128.0/18
eurest.paydiant.com AS3561 AS3561 - CENTURYLINK COMMUNICATIONS, LLC US 209.202.128.0/18
failover.paydiant.com AS26251 AS26251 - PROSPEED.NET,INC. US 64.130.224.0/20
fis-dc6.paydiant.com AS26444 AS26444 - PAYPAL, INC. US 198.54.217.0/24
fis.demo.paydiant.com AS3561 AS3561 - CENTURYLINK COMMUNICATIONS, LLC US 209.202.128.0/18
fis.eng.paydiant.com AS3561 AS3561 - CENTURYLINK COMMUNICATIONS, LLC US 64.14.64.0/19
fis-mbbmo.paydiant.com AS3561 AS3561 - CENTURYLINK COMMUNICATIONS, LLC US 209.202.128.0/18
ftp.paydiant.com AS397225 AS397225 - NEUSTAR, INC. US 204.74.99.0/24
global.paydiant.com AS3561 AS3561 - CENTURYLINK COMMUNICATIONS, LLC US 64.14.64.0/19
hinsdalebank.paydiant.com AS3561 AS3561 - CENTURYLINK COMMUNICATIONS, LLC US 209.202.128.0/18
inet-posgw1-dr.paydiant.com AS26444 AS26444 - PAYPAL, INC. US 198.54.216.0/24
lakecitybank.paydiant.com AS3561 AS3561 - CENTURYLINK COMMUNICATIONS, LLC US 209.202.128.0/18
lakeforestbank.paydiant.com AS3561 AS3561 - CENTURYLINK COMMUNICATIONS, LLC US 209.202.128.0/18
lb-blue.us-east-1.certification.core.paydiant.com AS14618 AS14618 - AMAZON.COM, INC. US 34.224.0.0/12
lb-blue.us-east-1.engineering.core.paydiant.com AS14618 AS14618 - AMAZON.COM, INC. US 52.70.0.0/15
lb-blue.us-east-1.production.core.paydiant.com AS14618 AS14618 - AMAZON.COM, INC. US 107.22.0.0/16
lb-blue.us-east-1.staging.core.paydiant.com AS14618 AS14618 - AMAZON.COM, INC. US 34.192.0.0/12
lb-blue.us-east-1.testing.core.paydiant.com AS14618 AS14618 - AMAZON.COM, INC. US 35.153.0.0/16
lb-green.us-east-1.certification.core.paydiant.com AS14618 AS14618 - AMAZON.COM, INC. US 34.192.0.0/12
lb-green.us-east-1.engineering.core.paydiant.com AS14618 AS14618 - AMAZON.COM, INC. US 52.20.0.0/14
lb-green.us-east-1.production.core.paydiant.com AS14618 AS14618 - AMAZON.COM, INC. US 107.22.0.0/16
lb-green.us-east-1.staging.core.paydiant.com AS14618 AS14618 - AMAZON.COM, INC. US 34.224.0.0/12
