artifactory.euw.platformservices.io AS16509 AS16509 - AMAZON.COM, INC. US 52.208.0.0/13
artifactory.platformservices.io AS16509 AS16509 - AMAZON.COM, INC. US 52.208.0.0/13
artifactory-test.ps-test.euw.platformservices.io AS16509 AS16509 - AMAZON.COM, INC. US 52.208.0.0/13
consul.euw.platformservices.io AS16509 AS16509 - AMAZON.COM, INC. US 54.246.128.0/17
docker.artifactory.euw.platformservices.io AS16509 AS16509 - AMAZON.COM, INC. US 52.208.0.0/13
docker.artifactory-test.ps-test.euw.platformservices.io AS16509 AS16509 - AMAZON.COM, INC. US 52.208.0.0/13
docker-hashicorp-secure.artifactory-test.ps-test.euw.platformservices.io AS16509 AS16509 - AMAZON.COM, INC. US 52.208.0.0/13
docker-local-trusted.artifactory-test.ps-test.euw.platformservices.io AS16509 AS16509 - AMAZON.COM, INC. US 108.128.0.0/13
docker-local-untrusted.artifactory-test.ps-test.euw.platformservices.io AS16509 AS16509 - AMAZON.COM, INC. US 108.128.0.0/13
hub.platformservices.io AS16509 AS16509 - AMAZON.COM, INC. US 54.170.0.0/16
ns.platformservices.io AS16509 AS16509 - AMAZON.COM, INC. US 52.208.0.0/13
