api.ff.sbgservices.com AS16509 AS16509 - AMAZON.COM, INC. US 99.84.232.0/21
api.messaging.sbgservices.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.100.64.0/20
api.s6e.sbgservices.com AS16509 AS16509 - AMAZON.COM, INC. US 65.8.158.0/23
api.s6.sbgservices.com AS16509 AS16509 - AMAZON.COM, INC. US 108.139.0.0/21
api.sweeps.sbgservices.com AS16509 AS16509 - AMAZON.COM, INC. US 108.138.240.0/21
api.test.messaging.sbgservices.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.100.64.0/20
api.test.s6.sbgservices.com AS16509 AS16509 - AMAZON.COM, INC. US 65.8.158.0/23
assetstore.sbgservices.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.100.64.0/20
cdn.ff.sbgservices.com AS16509 AS16509 - AMAZON.COM, INC. US 65.8.158.0/23
ci.api.ff.sbgservices.com AS16509 AS16509 - AMAZON.COM, INC. US 108.139.0.0/21
demo-portal.test.ges.sbgservices.com AS16509 AS16509 - AMAZON.COM, INC. US 13.35.124.0/22
feedback.s6.sbgservices.com AS16509 AS16509 - AMAZON.COM, INC. US 65.8.158.0/23
gate.guea.sbgservices.com AS48210 AS48210 - BONNE TERRE LTD GB 194.145.126.0/24
gate.nps.sbgservices.com AS48210 AS48210 - BONNE TERRE LTD GB 193.104.140.0/24
gate.sbgservices.com AS48210 AS48210 - BONNE TERRE LTD GB 194.145.126.0/24
gateway.test.gamingservices.sbgservices.com AS16509 AS16509 - AMAZON.COM, INC. US 52.48.0.0/14
match-challenge.sbgservices.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.100.48.0/20
match-challenge.stage.sbgservices.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.100.64.0/20
minigames.ges.sbgservices.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.100.64.0/20
minigames.nps.ges.sbgservices.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.100.64.0/20
oauth.autotest.sweeps.sbgservices.com AS16509 AS16509 - AMAZON.COM, INC. US 52.48.0.0/14
oauth.loadtest.sweeps.sbgservices.com AS16509 AS16509 - AMAZON.COM, INC. US 54.220.0.0/16
oauth.test.sweeps.sbgservices.com AS16509 AS16509 - AMAZON.COM, INC. US 52.208.0.0/13
promotions-customer-experience.sbgservices.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.100.84.0/23
promotions-spin-service.promotions.nps.sbgservices.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.100.64.0/20
