3.tesla.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.99.48.0/22
akamai-apigateway-automation.tesla.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.99.48.0/22
akamai-apigateway-bender.tesla.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.99.48.0/22
akamai-apigateway-captiveunderwriting.tesla.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.99.48.0/22
akamai-apigateway-deliveryopsapi1.tesla.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.99.48.0/22
akamai-apigateway-deliveryopsapi.tesla.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.99.48.0/22
akamai-apigateway-deliveryopsvitu.tesla.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.99.48.0/22
akamai-apigateway-dev-captiveunderwriting.tesla.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.99.48.0/22
akamai-apigateway-dev-warptmsapiserver.tesla.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.99.48.0/22
akamai-apigateway-dev-warptmsapiserver-upgrade.tesla.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.99.48.0/22
akamai-apigateway-ehs-stg.tesla.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.99.48.0/22
akamai-apigateway-ehs.tesla.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.99.48.0/22
akamai-apigateway-einvoicing.tesla.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.99.48.0/22
akamai-apigateway-finplateng-defi.tesla.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.99.48.0/22
akamai-apigateway-finplateng-routeone.tesla.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.99.48.0/22
akamai-apigateway-finplateng.tesla.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.99.48.0/22
akamai-apigateway-finplat-prd.tesla.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.99.48.0/22
akamai-apigateway-finplat-stg.tesla.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.99.48.0/22
akamai-apigateway-fta.tesla.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.99.48.0/22
akamai-apigateway-inventorytxnextapi.tesla.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.99.48.0/22
akamai-apigateway-logisticsratesapi.tesla.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.99.48.0/22
akamai-apigateway-materials.tesla.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.99.48.0/22
akamai-apigateway-mfs-supplier.tesla.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.99.48.0/22
akamai-apigateway-mfs-supplier-uat.tesla.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.99.48.0/22
akamai-apigateway-ops-warp3pl.tesla.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.99.48.0/22
akamai-apigateway-packaging2.tesla.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.99.48.0/22
akamai-apigateway-payment.tesla.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.99.48.0/22
akamai-apigateway-prd-global-deliveryopsapi.tesla.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.99.48.0/22
akamai-apigateway-procuretopayapi.tesla.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.99.48.0/22
akamai-apigateway-profileapi.tesla.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.99.48.0/22
