-1249852061	microsoft outlook	http://autodiscover.creditkarma.com/
-1279294674	zendesk-support	http://help.creditkarma.com/
-1279294674	zendesk-support	https://help.creditkarma.com/
-1279294674	zendesk-support	https://taxhelp.creditkarma.com/
-1279294674	zendesk-support	http://taxhelp.creditkarma.com/
1433417005	salesforce	http://helpcenter.creditkarma.com/
1433417005	salesforce	https://helpcenter.creditkarma.com/
1433417005	salesforce	https://support.creditkarma.com/
1433417005	salesforce	http://support.creditkarma.com/
1f2804bd63515db219aeea50f61df277	zendesk-support	http://help.creditkarma.com/
1f2804bd63515db219aeea50f61df277	zendesk-support	https://help.creditkarma.com/
1f2804bd63515db219aeea50f61df277	zendesk-support	https://taxhelp.creditkarma.com/
1f2804bd63515db219aeea50f61df277	zendesk-support	http://taxhelp.creditkarma.com/
3bdfaec33d4ce535ce728a5a32e6004b	microsoft-outlook	http://autodiscover.creditkarma.com/
