[amqp] on.fb.me:5672
[ansoft-lm-2] on.fb.me:1084
[blackice-icecap] on.fb.me:8081
[boinc] on.fb.me:1043
[ctf] on.fb.me:84
[dn6-nlm-aud] on.fb.me:195
[dnp] on.fb.me:20000
[down] on.fb.me:2022
[d-s-n] on.fb.me:8086
[epp] on.fb.me:700
[ff-annunc] on.fb.me:1089
[globalcatLDAP] on.fb.me:3268
[globalcatLDAPssl] on.fb.me:3269
[hp-server] on.fb.me:5225
[http] 0000fuck.you.get.signal.fb.me:80
[http] 0-1.fb.me:80
[http] 022.fma.fb.me:80
[http] 0.basic.fb.me:80
[http] 0.fb.me:80
[http] 0h4fxancvy1l3bg5dsweqzjroputm9ki6728.fb.me:80
[http] 0ieyqj2t57f4lbrvgzxdnph3caswmu9k816o.fb.me:80
[http] 0jl9mvidso75kr3tfznwcyg4hp8eux612aqb.fb.me:80
[http] 0mcgnqd9pyzr4uwfx2ilhsov6873katb51je.fb.me:80
[http] 116profile.fb.me:80
[http] 123.fb.me:80
[http] 178.38.116profile.fb.me:80
[http] 1907113739430074.fb.me:80
[http] 1.fb.me:80
[http] 1ukfeh4daiv6lqpx3t8b52jonmwg9rsy7cz0.fb.me:80
[http] 1www.fb.me:80
[http] 2019.fb.me:80
[http] 216.178.38.116profile.fb.me:80
[http] 23918izdfmw4jqklo7xpha0cnbu5ryt6sgev.fb.me:80
[http] 264770464.6461796c6967687477696e64796a616e6540686f746d616message.fb.me:80
[http] 2704wrfzy6bv1deg95hm3qokinauxcjsp8tl.fb.me:80
[http] 2fon.fb.me:80
[http] 2hxgwqzc7my83iljns19r4tbav6k5p0oeduf.fb.me:80
[http] 3-6-p.m.on.fb.me:80
[http] 38.116profile.fb.me:80
[http] 3.fb.me:80
[http] 3-ida-dk.mfb.116profile.fb.me:80
[http] 4.264770464.6461796c6967687477696e64796a616e6540686f746d616message.fb.me:80
[http] 4g.fb.me:80
[http] 4w3hm0trjzc9p2a5bq6lsedn81o7xukyvgfi.fb.me:80
[http] 51s9v6iuwkne70atmz4jygcxqpdl8rf23bho.fb.me:80
[http] 6461796c6967687477696e64796a616e6540686f746d616message.fb.me:80
[http] 70mhsgywt869bqv2foiuknclzp3aexd154rj.fb.me:80
[http] 81pis6tkf9yco54bhazrdg20enljvm3wuq7x.fb.me:80
[http] 87auw4p213rv6lbe95cmsxoyf0qdhgnkjzti.fb.me:80
[http] 8zvwdq0os5l67ymitgp2j1uxcbrh9nke43af.fb.me:80
[http] 97.fb.me:80
[http] 9n.fb.me:80
[http] a17-112-144-50.fb.me:80
[http] a17-112-152-32.fb.me:80
[http] a17-250-248-150.fb.me:80
[http] a5.fb.me:80
[http] a8w2xvonzue94lph1biykqg7r3tdfs6m5cj0.fb.me:80
[http] aaxisnetid.fb.me:80
[http] access.fb.me:80
[http] ac.fb.me:80
[http] acp.fb.me:80
[http] ad.fb.me:80
[http] adm.fb.me:80
[http] admin.fb.me:80
[http] admin.on.fb.me:80
[http] adobe-dns-3.fb.me:80
[http] adserver.fb.me:80
[http] ads.fb.me:80
[http] aehlrp02vi18dns5qc4wyu793obkxmgtj6zf.fb.me:80
[http] a.fb.me:80
[http] affiliates.fb.me:80
[http] affle.sg.fb.me:80
[http] afstand.fb.me:80
[http] af-za.he-il.id-id.fb.me:80
[http] af-za.id-id.fb.me:80
[http] af-za.mobile.fb.me:80
[http] af-za.vi-vn.mobile.fb.me:80
[http] agenda.fb.me:80
[http] ak.fb.me:80
[http] alexandrasicignano.fb.me:80
[http] alpha.fb.me:80
[http] alubsmgw12.emea.omc.fb.me:80
[http] alumni.fb.me:80
[http] am.fb.me:80
[http] amouradistance.fb.me:80
[http] am-red.fb.me:80
[http] analytics.fb.me:80
[http] and.come.view-pictures.fb.me:80
[http] an.fb.me:80
[http] angelfire.fb.me:80
[http] ann.fb.me:80
[http] a.on.fb.me:80
[http] aph.fb.me:80
[http] api4.fb.me:80
[http] api.fb.me:80
[http] api.google.com.fb.me.g.co.4g.fb.me:80
[http] api.on.fb.me:80
[http] app.fb.me:80
[http] app.on.fb.me:80
[http] apps.fb.me:80
[http] ar-ar.an.fb.me:80
[http] ar-ar.ar-ar.fb.me:80
[http] ar-ar.bs-ba.fb.me:80
[http] ar-ar.da-dk.fb.me:80
[http] ar-ar.en-gb.fb.me:80
[http] ar-ar.fa-ir.fb.me:80
[http] ar-ar.fb.me:80
[http] ar-ar.fi-fi.fb.me:80
[http] ar-ar.fi-fi.mobile.fb.me:80
[http] ar-ar.he-il.fb.me:80
[http] ar-ar.he-il.id-id.fb.me:80
[http] ar-ar.id-id.fb.me:80
[http] ar-ar.id-id.mobile.fb.me:80
[http] ar-ar.lt-lt.fb.me:80
[http] ar-ar.m.fb.me:80
[http] ar-ar.myteddycasino.comwww.fb.me:80
[http] ar-ar.on.fb.me:80
[http] ar-ar.pchelplinebd.comwww.fb.me:80
[http] ar-ar.sokayka.comwww.fb.me:80
[http] ar-ar.vi-vn.fb.me:80
[http] ar-ar.vi-vn.mobile.fb.me:80
[http] ar-ar.www.on.fb.me:80
[http] archive.fb.me:80
[http] ardownload.fb.me:80
[http] ardownload.wip3.fb.me:80
[http] ar.fb.me:80
[http] argentinasinvacunas.ph.fb.me:80
[http] argentinasinvacunas.vi-vn.mobile.fb.me:80
[http] art.fb.me:80
[http] artificialintelligence-notes.fb.me:80
[http] asia.fb.me:80
[http] asia-red.fb.me:80
[http] assets.fb.me:80
[http] asw2.fb.me:80
[http] atlas.fb.me:80
[http] auth.fb.me:80
[http] autoconfig.fb.me:80
[http] autoconfig.on.fb.me:80
[http] autodiscover.fb.me:80
[http] autodiscover.on.fb.me:80
[http] auto.fb.me:80
[http] auwww.fb.me:80
[http] av.fb.me:80
[http] axis.0.fb.me:80
[http] axisnet.fb.me:80
[http] az-az.fb.me:80
[http] b003.fma.fb.me:80
[http] b2b.fb.me:80
[http] backup.fb.me:80
[http] baidu.fb.me:80
[http] banner.fb.me:80
[http] banuba-live-selfie-filters-and-face-masks-camera.co.4g.fb.me:80
[http] b-api.fb.me:80
[http] basic.fb.me:80
[http] bb.fb.me:80
[http] bbs.fb.me:80
[http] bbs.on.fb.me:80
[http] bc-japan-1-2.fb.me:80
[http] beta.fb.me:80
[http] beta.on.fb.me:80
[http] b.fb.me:80
[http] bg-bg.an.fb.me:80
[http] bg-bg.ar-ar.fb.me:80
[http] bg-bg.bs-ba.fb.me:80
[http] bg-bg.el-gr.fb.me:80
[http] bg-bg.fa-ir.fb.me:80
[http] bg-bg.fb.me:80
[http] bg-bg.fi-fi.mobile.fb.me:80
[http] bg-bg.gos.sk.fb.me:80
[http] bg-bg.he-il.fb.me:80
[http] bg-bg.he-il.id-id.fb.me:80
[http] bg-bg.id-id.fb.me:80
[http] bg-bg.id-id.mobile.fb.me:80
[http] bg-bg.lanlabuy.comwww.fb.me:80
[http] bg-bg.lt-lt.fb.me:80
[http] bg-bg.mobile.fb.me:80
[http] bg-bg.pchelplinebd.comwww.fb.me:80
[http] bh407.fb.me:80
[http] billing.fb.me:80
[http] bill-ryan-corrupt-click-fraud-porn.fb.me:80
[http] bip.fb.me:80
[http] blackberry.fb.me:80
[http] blackmask-1.fb.me:80
[http] blackmask1.fb.me:80
[http] blog.fb.me:80
[http] blog.on.fb.me:80
[http] blogs.fb.me:80
[http] bn-in.ar-ar.fb.me:80
[http] bn-in.bs-ba.fb.me:80
[http] bn-in.da-dk.fb.me:80
[http] bn-in.da-dk.mobile.fb.me:80
[http] bn-in.fb.me:80
[http] bn-in.fi-fi.mobile.fb.me:80
[http] bn-in.he-il.id-id.fb.me:80
[http] bn-in.id-id.fb.me:80
[http] bn-in.lt-lt.fb.me:80
[http] bn-in.mobile.fb.me:80
[http] bn-in.ms-my.fb.me:80
[http] bn-in.myteddycasino.comwww.fb.me:80
[http] bn-in.sokayka.comwww.fb.me:80
[http] bn-in.www.on.fb.me:80
[http] bo3.fb.me:80
[http] board.fb.me:80
[http] b.on.fb.me:80
[http] bookmarks.fb.me:80
[http] bqdlot1ghj5uzk8wp4920sfvnr3iameycx76.fb.me:80
[http] broadcast-ip.fb.me:80
[http] bs-ba.fb.me:80
[http] bs-ba.lt-lt.fb.me:80
[http] bs-ba.on.fb.me:80
