[cddbp-alt] acceptatie.topdesk.intergamma.nl:8880
[clearvisn] acceptatie.topdesk.intergamma.nl:2052
[eli] acceptatie.topdesk.intergamma.nl:2087
[globalcatLDAP] qa.pricetool.intergamma.nl:3268
[gnunet] acceptatie.topdesk.intergamma.nl:2086
[http] acceptatie.topdesk.intergamma.nl:80
[http-proxy] acceptatie.topdesk.intergamma.nl:8080
[http] qa.pricetool.intergamma.nl:80
[https] acceptatie.topdesk.intergamma.nl:443
[https-alt] acceptatie.topdesk.intergamma.nl:8443
[https] dev-api.intergamma.nl:443
[https] qa.pricetool.intergamma.nl:443
[https] zabbix.intergamma.nl:443
[infowave] acceptatie.topdesk.intergamma.nl:2082
[nntp] qa.pricetool.intergamma.nl:119
[postgresql] qa.pricetool.intergamma.nl:5432
[] qa.pricetool.intergamma.nl:9530
[radsec] acceptatie.topdesk.intergamma.nl:2083
