[3d-nfsd] ingest-test-api.eu.newrelic.com:2323
[3exmp] ingest-test-api.eu.newrelic.com:5221
[802-11-iapp] ingest-test-api.eu.newrelic.com:3517
[914c-g] ingest-test-api.eu.newrelic.com:211
[abarsd] ingest-test-api.eu.newrelic.com:8402
[abyss] ingest-test-api.eu.newrelic.com:9999
[accessbuilder] ingest-test-api.eu.newrelic.com:888
[acc-raid] ingest-test-api.eu.newrelic.com:2800
[acmsoda] ingest-test-api.eu.newrelic.com:6969
[active-net] ingest-test-api.eu.newrelic.com:3322
[active-net] ingest-test-api.eu.newrelic.com:3323
[active-net] ingest-test-api.eu.newrelic.com:3324
[active-net] ingest-test-api.eu.newrelic.com:3325
[activesync] ingest-test-api.eu.newrelic.com:5679
[admd] ingest-test-api.eu.newrelic.com:5100
[admdog] ingest-test-api.eu.newrelic.com:5101
[admeng] ingest-test-api.eu.newrelic.com:5102
[adobeserver-1] ingest-test-api.eu.newrelic.com:1102
[adobeserver-3] ingest-test-api.eu.newrelic.com:3703
[aeroflight-ads] ingest-test-api.eu.newrelic.com:1218
[afp] ingest-test-api.eu.newrelic.com:548
[afrog] ingest-test-api.eu.newrelic.com:1042
[afs3-bos] ingest-test-api.eu.newrelic.com:7007
[afs3-callback] ingest-test-api.eu.newrelic.com:7001
[afs3-fileserver] ingest-test-api.eu.newrelic.com:7000
[afs3-kaserver] ingest-test-api.eu.newrelic.com:7004
[afs3-prserver] ingest-test-api.eu.newrelic.com:7002
[agentx] ingest-test-api.eu.newrelic.com:705
[airport-admin] ingest-test-api.eu.newrelic.com:5009
[ajp12] ingest-test-api.eu.newrelic.com:8007
[ajp13] ingest-test-api.eu.newrelic.com:8009
[alias] ingest-test-api.eu.newrelic.com:1187
[amandaidx] ingest-test-api.eu.newrelic.com:10082
[amiganetfs] ingest-test-api.eu.newrelic.com:2100
[ams] ingest-test-api.eu.newrelic.com:1037
[amt-esd-prot] ingest-test-api.eu.newrelic.com:1082
[amt-soap-http] ingest-test-api.eu.newrelic.com:16992
[amt-soap-https] ingest-test-api.eu.newrelic.com:16993
[anet] ingest-test-api.eu.newrelic.com:212
[ansoft-lm-1] ingest-test-api.eu.newrelic.com:1083
[ansoft-lm-2] ingest-test-api.eu.newrelic.com:1084
[ansyslmd] ingest-test-api.eu.newrelic.com:1055
[aol] ingest-test-api.eu.newrelic.com:5190
[apc-2160] ingest-test-api.eu.newrelic.com:2160
[apc-2260] ingest-test-api.eu.newrelic.com:2260
